date,area,mu_hat,sigma_hat,mean,variance,skewness,kurtosis,rmse_price,B,K_star,n_calls,n_puts,Kmin_put,Kmax_call,sigma_max,lambda_anchor
2018-08-31,EU,0.007568968907260563,0.11013284429540425,1.0137269518002299,0.012540423153789797,0.33275098805524383,3.197494276280878,0.04314389920848406,1.0024710480189878,1.01373,4,3,0.99,1.05,0.3,2000.0
2018-09-28,EU,0.010078095351472761,0.10480257570018067,1.015691727487139,0.01139344290224882,0.31643367430469016,3.1785436198092247,0.04702041771659097,1.0024259378368137,1.015695,4,3,0.99,1.05,0.3,2000.0
2018-10-31,EU,0.014204330259157742,0.019612952878225464,1.0145007953031069,0.0003959809431589258,0.05885206409428467,3.0061580913735764,0.045671199812302304,1.002399875101247,1.014501,4,3,0.99,1.05,0.3,2000.0
2018-11-30,EU,0.0019207810536922619,0.1340615445436411,1.010966728414219,0.018534918745556406,0.40644065111702665,3.2951286526468833,0.07342910765211985,1.002402882305383,1.010975,4,3,0.99,1.05,0.3,2000.0
2019-04-30,EU,0.005268155565108261,0.10684873896679654,1.0110369446735818,0.011736924378421786,0.32269364274828083,3.1856998170885165,0.05869606370830481,1.0023106654822498,1.011043,4,3,0.99,1.05,0.3,2000.0
2019-05-31,EU,0.0025219686253851207,0.12741249320163772,1.0106957350963879,0.01671840413327508,0.3858878238676896,3.265907153017623,0.0820306119215251,1.0027778510981589,1.010705,4,3,0.99,1.05,0.3,2000.0
2019-12-31,EU,0.0007113485484803241,0.13839388730211385,1.0103408837464414,0.019739461528569344,0.4198666488528689,3.315051959979498,0.08153541802312386,1.0032171639994418,1.01035,4,3,0.99,1.05,0.3,2000.0
2020-11-30,EU,0.004088797259349028,0.11690378461914375,1.010981907963188,0.014064196681839915,0.3535271651142559,3.2230207923354115,0.05914157733586597,1.005183387511201,1.010987,4,3,0.99,1.05,0.3,2000.0
2020-12-31,EU,0.0048037092672785385,0.11983342125497778,1.012055826320518,0.014814494347434702,0.3625342131111997,3.2345745502953793,0.06425536373404088,1.0053040167553122,1.012062,4,3,0.99,1.05,0.3,2000.0
2021-01-29,EU,0.014627580001537207,0.019612952167088592,1.0149302733710392,0.00039631625397941694,0.05885206195944065,3.006158090926763,0.04421388500318464,1.0054246604758017,1.01493,4,3,0.99,1.05,0.3,2000.0
2021-02-26,EU,0.018954551629891354,0.01961295512116892,1.0193313627553726,0.00039976095595468773,0.058852070827648394,3.0061580927828375,0.07292184719225087,1.004972321162566,1.019325,4,3,0.99,1.05,0.3,2000.0
2021-03-31,EU,0.0001828615790637957,0.19588115005085507,1.0195563422049962,0.04065989066035181,0.6010616400556305,3.649151797369825,0.14727148305635618,1.005165294373065,1.019575,4,3,0.99,1.05,0.3,2000.0
2021-04-30,EU,0.012253921664868423,0.01961295188374003,1.0125240325874099,0.0003944392626496432,0.058852061108822254,3.006158090748732,0.04606777586502897,1.005141170695485,1.012525,4,3,0.99,1.05,0.3,2000.0
2021-05-31,EU,0.017249174239080706,0.019612963320037497,1.0175944996838098,0.00039840012526138626,0.05885209544080706,3.0061580979342626,0.05835631645935139,1.005080864034461,1.01759,4,3,0.99,1.05,0.3,2000.0
2021-06-30,EU,0.018182804482756176,0.019612954546846702,1.0185450001482819,0.0003991443797556496,0.05885206910351354,3.0061580924219857,0.06313638700420132,1.0050617676794604,1.01854,4,3,0.99,1.05,0.3,2000.0
2021-07-30,EU,0.011976808922981518,0.13441229985907194,1.0212324090258986,0.01901324458926623,0.4075266208513366,3.296715621585637,0.0876814237838049,1.005219574764518,1.02124,3,4,0.99,1.05,0.3,2000.0
2021-08-31,EU,0.016024926024115437,0.11275997363280896,1.0226346955527952,0.013381810928408223,0.34080554004504215,3.207204474641361,0.06629974750745908,1.005170320212101,1.02264,3,4,0.99,1.05,0.3,2000.0
2021-09-30,EU,0.024063373835502725,0.08933991453199966,1.0284514085226428,0.008476039258626233,0.26927280348923066,3.1291832825537096,0.03609467948448659,1.0050346313780747,1.02845,3,4,0.99,1.05,0.3,2000.0
2021-10-29,EU,0.029083361361263185,0.01961295602590895,1.0297084412091027,0.0004079417808103376,0.05885207354369834,3.006158093351294,0.08928046942864479,1.0044348047692002,1.0297,3,4,0.99,1.05,0.3,2000.0
2021-11-30,EU,0.027851769255837877,0.01961296196025888,1.0284410411619413,0.0004069384279881353,0.058852091358724296,3.0061580970799007,0.051359265946986005,1.0049662913467283,1.028438,3,4,0.99,1.05,0.3,2000.0
2023-01-31,EU,-0.02196490811788262,0.3,1.0233024485260511,0.09861440352510203,0.949534907256536,4.644910405392265,0.19407536932580444,0.9668963272302044,1.023305,3,4,0.99,1.05,0.3,2000.0
2023-02-28,EU,-0.01581930851158783,0.3,1.0296106195433816,0.09983397243257618,0.949534907256536,4.644910405392265,0.4220628266427218,0.9634660768487556,1.029545,3,4,0.99,1.05,0.3,2000.0
2023-05-31,EU,-0.017595405691651193,0.3,1.0277835540286946,0.09947997187038639,0.949534907256536,4.644910405392265,0.21666974923983198,0.9623337067065286,1.027762,3,4,0.99,1.05,0.3,2000.0
