date,area,K0_swap_mean,raw_m2,raw_m3,raw_m4,mean,variance,skewness,kurtosis,tail_frac,winsor_q,Kmin_used_put,Kmax_used_call,n_puts,n_calls
2017-11-30,EU,1.01428,1.0287952767382378,1.0435499936852897,1.0585484018566382,1.01428,3.135833823764145e-05,-0.523202263476495,13.060377097438861,0.6,,0.975432,1.071432,4,5
2017-12-29,EU,1.01368,1.0275771959906235,1.0416953130217854,1.0560381557088263,1.01368,3.005359062369095e-05,-0.4155050737353196,16.10168161727882,0.6,,0.975792,1.071792,4,5
2018-01-31,EU,1.0145,1.0292350313665235,1.044209197520941,1.0594266855533665,1.0145,2.4781366523507486e-05,-0.18800544298518002,15.546221387731348,0.6,,0.9753000000000001,1.0713000000000001,4,5
2018-02-28,EU,1.01302,1.026239183525967,1.0396607770129758,1.053288068513014,1.01302,2.966312596686116e-05,-0.8626203949168426,11.327071628635442,0.6,,0.976188,1.0721880000000001,4,5
2018-03-30,EU,1.01275,1.0256915600377798,1.0388277499780476,1.0521616997878762,1.01275,2.8997537779851257e-05,-0.7170225123112329,13.2037120445368,0.6,,0.9763499999999999,1.0723500000000001,4,5
2018-04-30,EU,1.0121,1.024377228895276,1.0368344547405677,1.0494744997610552,1.0121,3.081889527600801e-05,-0.7144303255277662,12.189270116348096,0.6,,0.9767399999999999,1.07274,4,5
2018-05-31,EU,1.015903,1.0320812095004124,1.0485398220761832,1.0652841437845946,1.015903,2.2304091412461702e-05,1.0206798615785615,15.753707897217804,0.6,,0.9744581999999999,1.0704582,4,5
2018-06-29,EU,1.017025,1.0343664456532407,1.052030682209743,1.070024199296961,1.017025,2.6595028240539165e-05,0.38061594992261866,14.926679897537072,0.6,,0.9737849999999999,1.069785,4,5
2018-07-31,EU,1.017187,1.0347008998627594,1.0525484670675305,1.0707366366740423,1.017187,3.150689375930327e-05,0.3733833216103736,20.08928768171423,0.6,,0.9736878,1.0696878,4,5
2018-08-31,EU,1.01373,1.0276782693328057,1.0418485566918305,1.056244696914136,1.01373,2.975643280556106e-05,-0.4020224333462901,23.19011123051953,0.6,,0.975762,1.071762,4,5
2018-09-28,EU,1.015695,1.0316625294740431,1.0479075013291028,1.0644349288956487,1.015695,2.6196449043114356e-05,-1.3928237854769816,18.578221216229377,0.6,,0.974583,1.070583,4,5
2018-10-31,EU,1.014501,1.029234925916238,1.0442058318938687,1.0594178599982949,1.014501,2.2646915238011545e-05,0.18261015494601174,27.274090099761832,0.6,,0.9752993999999999,1.0712994,4,5
2018-11-30,EU,1.010975,1.022107018083551,1.033398451951573,1.044851749879872,1.010975,3.656745855096233e-05,-0.579884621570764,11.418302839537557,0.6,,0.977415,1.073415,4,5
2019-04-30,EU,1.011043,1.0222342660367298,1.033575932589914,1.045070171446114,1.011043,2.6318187730023368e-05,-0.6227844020949328,9.951838262836834,0.6,,0.9773742000000001,1.0733742000000002,4,5
2019-05-31,EU,1.010705,1.021557155043672,1.032558584957566,1.0437114445690394,1.010705,3.2558018671968725e-05,-0.8210764877504828,5.673059088526578,0.6,,0.977577,1.073577,4,5
2019-12-31,EU,1.01035,1.0208438759371654,1.0314837908951529,1.0422719491469201,1.01035,3.6753437165248926e-05,-0.38968623619666337,7.170521040338085,0.6,,0.9777899999999999,1.07379,4,5
2020-11-30,EU,1.010987,1.022124216656875,1.0334140287407885,1.0448588649518942,1.010987,2.9502487874699668e-05,0.4995565918522007,12.03099504303312,0.6,,0.9774077999999999,1.0734078,4,5
2020-12-31,EU,1.012062,1.0243001972347452,1.0367174224627567,1.049316563687211,1.012062,3.0705390745122685e-05,-0.2072887659659932,11.639698321702292,0.6,,0.9767627999999999,1.0727628,4,5
2021-01-29,EU,1.01493,1.0301050379693935,1.0455294434160776,1.0612076361904605,1.01493,2.213306939324866e-05,0.09793409621683985,21.322883027961826,0.6,,0.975042,1.071042,4,5
2021-02-26,EU,1.019325,1.0390522992904816,1.059190900539071,1.0797500278574623,1.019325,2.8843665481614877e-05,0.7322132466500374,10.308400630873681,0.6,,0.972405,1.068405,4,5
2021-04-30,EU,1.012525,1.0252285380384845,1.038113526482618,1.0511829389322922,1.012525,2.1662413484557774e-05,1.3244455699156872,20.335939258239172,0.6,,0.976485,1.0724850000000001,4,5
2021-05-31,EU,1.01759,1.0355162322755511,1.0537857304257496,1.0724056987187092,1.01759,2.6824175551221074e-05,1.2639565673832471,17.76533493404435,0.6,,0.973446,1.0694460000000001,4,5
2021-07-30,EU,1.02124,1.0429665014973337,1.0651912152175766,1.0879261508121842,1.02124,3.536389733382883e-05,-0.5935536179964337,8.221572076905996,0.6,,0.971256,1.0672560000000002,5,4
2021-08-31,EU,1.02264,1.0458208549300265,1.0695559672207107,1.0938590866793685,1.02264,2.8285330026633915e-05,-0.8195348156451118,11.029866127068361,0.6,,0.970416,1.066416,5,4
2021-09-30,EU,1.02845,1.0577304297731311,1.0878659956540788,1.1188821562027922,1.02845,2.102727313091357e-05,-1.2014338554366821,18.452632598751215,0.6,,0.96693,1.06293,5,4
