date,area,instrument,mu_hat,sigma_hat,mean,variance,skewness,kurtosis
2022-08-31,EU,cap,1.05,0.006578606358888286,1.05,4.3278061625205394e-05,0.0,3.0
2022-09-30,EU,cap,1.05,0.016545125279325147,1.05,0.000273741170508564,0.0,3.0
2022-10-31,EU,cap,1.05,0.014210451901916924,1.05,0.00020193694325669432,0.0,3.0
2022-11-30,EU,cap,1.02,0.009770838295913721,1.02,9.546928100489415e-05,0.0,3.0
2022-12-30,EU,cap,1.02,0.025233535839330978,1.02,0.0006367313309548009,0.0,3.0
2023-01-31,EU,cap,1.02,0.01324686723330855,1.02,0.00017547949149690373,0.0,3.0
2023-02-28,EU,cap,1.05,0.04218770129412292,1.05,0.001779802140482141,0.0,3.0
2023-03-31,EU,cap,1.05,0.053777480329167675,1.05,0.0028920173905540164,0.0,3.0
2023-04-28,EU,cap,1.02,0.01975010087616096,1.02,0.0003900664846185339,0.0,3.0
2023-05-31,EU,cap,1.02,0.01914544514102005,1.02,0.00036654806964780826,0.0,3.0
2023-06-30,EU,cap,1.02,0.017201392935425955,1.02,0.00029588791891892196,0.0,3.0
2023-07-31,EU,cap,1.02,0.02020697083523145,1.02,0.00040832167033589444,0.0,3.0
2023-08-31,EU,cap,1.02,0.012169991458213783,1.02,0.00014810869209299642,0.0,3.0
2023-09-29,EU,cap,1.02,0.026894808729111038,1.02,0.0007233307365754673,0.0,3.0
2023-10-31,EU,cap,1.02,0.01460746303505241,1.02,0.00021337797632042257,0.0,3.0
2023-11-30,EU,cap,1.02,0.012171596241997363,1.02,0.00014814775507820434,0.0,3.0
2023-12-29,EU,cap,1.02,0.012100740726849198,1.02,0.00014642792613842685,0.0,3.0
2024-01-31,EU,cap,1.02,0.012479345778096921,1.02,0.00015573407104930545,0.0,3.0
2024-02-29,EU,cap,1.02,0.014845380444633773,1.02,0.00022038532054591482,0.0,3.0
2024-03-29,EU,cap,1.02,0.016216480032937814,1.02,0.0002629742246586708,0.0,3.0
2024-04-30,EU,cap,1.02,0.015530919358540075,1.02,0.00024120945612147486,0.0,3.0
2024-05-31,EU,cap,1.02,0.009873030730510582,1.02,9.747673580560632e-05,0.0,3.0
2024-06-28,EU,cap,1.02,0.00966631257834974,1.02,9.343759886236239e-05,0.0,3.0
2024-07-31,EU,cap,1.02,0.009607626934656294,1.02,9.23064953155331e-05,0.0,3.0
2024-08-31,EU,cap,1.02,0.010322541280295866,1.02,0.00010655485848341222,0.0,3.0
2024-09-30,EU,cap,1.02,0.009630081895994881,1.02,9.273847732356836e-05,0.0,3.0
2024-10-31,EU,cap,1.02,0.00944796804023868,1.02,8.926410008937151e-05,0.0,3.0
2024-11-30,EU,cap,1.02,0.009553516210143964,1.02,9.12696719774835e-05,0.0,3.0
2024-12-31,EU,cap,1.02,0.00949795161291854,1.02,9.021108484134189e-05,0.0,3.0
2025-01-31,EU,cap,1.02,0.009479507251976384,1.02,8.986105774027286e-05,0.0,3.0
2025-02-28,EU,cap,1.02,0.009639100766678193,1.02,9.291226359017612e-05,0.0,3.0
2025-03-31,EU,cap,1.02,0.009528587521784917,1.02,9.079398016031523e-05,0.0,3.0
2025-04-30,EU,cap,1.02,0.009726306540572585,1.02,9.460103892118505e-05,0.0,3.0
2025-05-31,EU,cap,1.02,0.009510481906553857,1.02,9.04492660948883e-05,0.0,3.0
2025-06-30,EU,cap,1.02,0.009789392354874079,1.02,9.583220267766706e-05,0.0,3.0
2025-07-31,EU,cap,1.02,0.009751981153174634,1.02,9.510113641187328e-05,0.0,3.0
2025-08-29,EU,cap,1.02,0.009674317213583281,1.02,9.359241354903378e-05,0.0,3.0
