date,area,instrument,mean,variance,skewness,kurtosis,B,K_star,Kmin,Kmax,n_strikes
2012-10-31,EU,two_sided,1.01762764477288,0.0001942853720896012,0.042459791797710755,2.2369336998656957,0.9959980293138982,1.018452,0.99,1.05,7
2012-11-30,EU,two_sided,1.0154027358453668,0.00017254096084019235,0.01943719763538676,2.1772813280206234,0.9964762231253024,1.0171,0.99,1.05,7
2012-12-31,EU,two_sided,1.013550978663644,0.00016596054477193133,0.06198308403173458,2.102487087317721,0.9967453080303736,1.01565,0.99,1.05,7
2013-01-31,EU,two_sided,1.0130933996284266,0.00014665570361502276,-0.0224211789257438,2.096062844023219,0.9948930848589824,1.015195,0.99,1.05,7
2013-02-28,EU,two_sided,1.0137782337657133,0.00015183587964118982,-0.02259283236174925,2.1250758721689555,0.9964562938001338,1.0157,0.99,1.05,7
2013-03-29,EU,two_sided,1.011233728293531,0.00014350582567585008,0.06583488272405846,2.0219657947797622,0.9959283118919844,1.013275,0.99,1.05,7
2013-04-30,EU,two_sided,1.0101502753827403,0.00013021154269777117,0.14586686186454,2.110518944754226,0.9967253733235608,1.01169,0.99,1.05,7
2013-06-28,EU,two_sided,1.009703181112485,0.00012372307798043478,0.1516154553542366,2.1261756625591204,0.9956295782107096,1.01094,0.99,1.05,7
2013-07-31,EU,two_sided,1.0126303145554125,0.0001413344092754484,-0.03241578268480716,2.0783812743585734,0.995918352658662,1.01415,0.99,1.05,7
2013-08-30,EU,two_sided,1.0127478530853151,0.00013418126279369288,-0.08195647435786091,2.097315056070461,0.9955897538240742,1.01441,0.99,1.05,7
2013-09-30,EU,two_sided,1.0110840827615961,0.00011200928619085715,0.04723697900372692,2.2149047474974983,0.9958585993501196,1.01199,0.99,1.05,7
2015-04-30,EU,two_sided,1.0099631584316748,0.0001358143849800473,0.10988196359519808,1.9899818178871618,0.9993052414565592,1.0116,0.99,1.05,7
2016-12-30,EU,two_sided,1.0103684357562357,0.00013541730932424057,0.0722094557554781,1.9924022378885022,1.0020220415744288,1.012175,0.99,1.05,7
2017-01-31,EU,two_sided,1.0128649634847882,0.0001142711557662116,-0.03216511461965754,2.242701839188246,1.0021823779276469,1.013675,0.99,1.05,7
2017-02-28,EU,two_sided,1.0118749410545151,0.00014569233465428305,0.03747700301018264,2.042415770685925,1.0021523129072865,1.01433,0.99,1.05,7
2017-06-30,EU,two_sided,1.0099994832912675,0.00011120455376522218,0.10781991919448364,2.2084259905181627,1.0023477516629629,1.010762,0.99,1.05,7
2017-08-31,EU,two_sided,1.0104174167049573,0.00011759306867733743,0.08158580563559992,2.1564321197846326,1.0026033829312384,1.011625,0.99,1.05,7
2017-09-29,EU,two_sided,1.0114083231318876,0.00012355748644924324,0.04227082702325036,2.1529944368473624,1.002558266794127,1.01295,0.99,1.05,7
2017-10-31,EU,two_sided,1.0116566741392599,0.00014163433633082942,0.0242314640331317,2.0336505976085166,1.00266153561386,1.01365,0.99,1.05,7
2017-11-30,EU,two_sided,1.0121834360604947,0.00014178309533778309,-0.006258861784073311,2.055659627535571,1.0026033829312384,1.01428,0.99,1.05,7
2017-12-29,EU,two_sided,1.0124572266123146,0.00012402722890217705,-0.13483744421525679,2.103881634898746,1.0025763130053449,1.01368,0.99,1.05,7
2018-01-31,EU,two_sided,1.0127249285853448,0.00012936339944215293,-0.1110470979445427,2.1073462270816288,1.0026485010986217,1.0145,0.99,1.05,7
2018-02-28,EU,two_sided,1.0113158072412585,0.00013290639301920056,-0.015129628885914181,2.020284455545782,1.00252819049727,1.01302,0.99,1.05,7
2018-03-30,EU,two_sided,1.0115083918087762,0.00011736006948209781,0.017852965482624494,2.1794756583557935,1.0026174194768551,1.01275,0.99,1.05,7
2018-04-30,EU,two_sided,1.0110862864791805,0.00011333591490297765,0.03424099905143152,2.1920843750993235,1.002574307854724,1.0121,0.99,1.05,7
2018-05-31,EU,two_sided,1.0139339347634366,0.00012652294440131519,-0.16192480318526958,2.2014562077363418,1.0023126701055856,1.015903,0.99,1.05,7
2018-06-29,EU,two_sided,1.0155145728103299,0.00012796604980175623,-0.16551197116578553,2.300735198240086,1.0025412234484603,1.017025,0.99,1.05,7
2018-07-31,EU,two_sided,1.0158850593746351,0.0001234126480286055,-0.1779663712902021,2.337342400869864,1.002533203150754,1.017187,0.99,1.05,7
2018-08-31,EU,two_sided,1.012703040954528,0.0001125113729036645,-0.03185930051409647,2.2429427712290977,1.0024710480189878,1.01373,0.99,1.05,7
2018-09-28,EU,two_sided,1.0160954258883528,0.0001014003934248654,-0.22641183000662102,2.399155152080321,1.0024259378368137,1.015695,0.99,1.05,7
2018-10-31,EU,two_sided,1.0130333218207404,0.00011523315908579619,-0.030474889759980694,2.247459066278039,1.002399875101247,1.014501,0.99,1.05,7
2018-11-30,EU,two_sided,1.0104621262219524,0.00010097245807903939,0.1006255295824745,2.319453587594663,1.002402882305383,1.010975,0.99,1.05,7
2019-04-30,EU,two_sided,1.0110520897525275,7.798174500452449e-05,0.254139447263257,2.581881269014743,1.0023106654822498,1.011043,0.99,1.05,7
2019-05-31,EU,two_sided,1.0095888821692665,0.00011437709854509178,0.12259674239650908,2.1587169424895354,1.0027778510981589,1.010705,0.99,1.05,7
2019-12-31,EU,two_sided,1.0096718228446597,9.765784671729509e-05,0.1685381218803379,2.401518634302752,1.0032171639994418,1.01035,0.99,1.05,7
2020-11-30,EU,two_sided,1.0099813866008502,6.330451424479662e-05,0.018743451845550596,2.417522093801713,1.005183387511201,1.010987,0.99,1.05,7
2020-12-31,EU,two_sided,1.0104812046815326,0.00012024422394459815,0.07690625769612802,2.13460250915033,1.0053040167553122,1.012062,0.99,1.05,7
2021-01-29,EU,two_sided,1.0142155738181025,0.00010994577589410789,-0.24837785122345823,2.292123855410507,1.0054246604758017,1.01493,0.99,1.05,7
2021-02-26,EU,two_sided,1.0193244040226763,8.989074150842485e-05,-0.042730165884709126,2.399998325130266,1.004972321162566,1.019325,0.99,1.05,7
2021-04-30,EU,two_sided,1.0122619455419493,6.683689441233147e-05,0.4549787988552837,2.7442072487807163,1.005141170695485,1.012525,0.99,1.05,7
2021-05-31,EU,two_sided,1.0165969229813883,0.00010869038068105271,-0.19135928624733556,2.3980969028239993,1.005080864034461,1.01759,0.99,1.05,7
2021-06-30,EU,two_sided,1.018179165085988,9.848650844416517e-05,-0.10944361001454583,2.399972663944647,1.0050617676794604,1.01854,0.99,1.05,7
2021-07-30,EU,two_sided,1.0228883575026946,0.00018240473722109051,-0.018411183092768013,2.2443173321827885,1.005219574764518,1.02124,0.99,1.05,7
2021-08-31,EU,two_sided,1.0254564308703933,0.00016975495547676795,-0.03657599806996492,2.1405864179615057,1.005170320212101,1.02264,0.99,1.05,7
2021-09-30,EU,two_sided,1.0305101323166326,8.535399984389331e-05,-0.031658406884473855,2.337153920673786,1.0050346313780747,1.02845,0.99,1.05,7
2021-10-29,EU,two_sided,1.033840813937904,0.00013056430279768033,-0.565653744416976,2.400014340386233,1.0044348047692002,1.0297,0.99,1.05,7
2021-11-30,EU,two_sided,1.0287556081728115,8.655675228920118e-05,-0.3462647035270259,2.166971552479929,1.0049662913467283,1.028438,0.99,1.05,7
2023-01-31,EU,two_sided,1.0238158040848524,0.00028544340800657137,-0.26180002025219307,1.916205178831573,0.9668963272302044,1.023305,0.99,1.05,7
2023-05-31,EU,two_sided,1.0248493082060206,0.00027648797874356976,-0.33011073575382566,1.9867874722710899,0.9623337067065286,1.027762,0.99,1.05,7
2023-06-30,EU,two_sided,1.027833001974308,0.00023864784889103172,-0.5041499654766323,2.2584055245843366,0.959963515432756,1.0276,0.99,1.05,7
